country,year,region,income_group,pc1,pc2,cluster
China,2017,East Asia & Pacific,Upper middle income,1.1717245287121465,6.07015413744939,1
China,2018,East Asia & Pacific,Upper middle income,1.5558379090318857,6.120066913286805,1
China,2019,East Asia & Pacific,Upper middle income,2.1054637382852346,6.413103324572766,1
China,2020,East Asia & Pacific,Upper middle income,2.247904988437863,6.445898380238405,1
China,2021,East Asia & Pacific,Upper middle income,2.7903455766803815,6.7081537113661645,1
China,2022,East Asia & Pacific,Upper middle income,2.643386271714873,6.711468412823802,1
China,2023,East Asia & Pacific,Upper middle income,2.82867718808306,6.529612815111964,1
China,2024,East Asia & Pacific,Upper middle income,2.6697954561327735,6.319781321426279,1
Finland,2010,Europe & Central Asia,High income,1.5522211249482762,-2.476290283228999,3
Finland,2011,Europe & Central Asia,High income,1.4545598451743476,-2.684739532328279,3
Finland,2012,Europe & Central Asia,High income,1.3466414824955906,-2.797082274647601,3
Finland,2013,Europe & Central Asia,High income,1.3965676757172043,-2.198286004205974,3
Finland,2014,Europe & Central Asia,High income,1.291998200557324,-2.1512449997541454,3
Finland,2015,Europe & Central Asia,High income,1.2544714466567717,-1.893257452063302,3
Finland,2016,Europe & Central Asia,High income,1.453330065106132,-1.614604656014219,3
Finland,2017,Europe & Central Asia,High income,1.668153498784226,-1.5515988501639943,3
Finland,2018,Europe & Central Asia,High income,1.7440415347470837,-1.8118959958744731,3
Finland,2019,Europe & Central Asia,High income,2.1100706132614477,-1.5979284236882436,3
Finland,2020,Europe & Central Asia,High income,2.6673587435360377,-1.361352295766297,3
Finland,2021,Europe & Central Asia,High income,2.803869495517772,-1.539113179021705,3
Finland,2022,Europe & Central Asia,High income,3.351358676960453,-0.9331165746713596,3
Finland,2023,Europe & Central Asia,High income,3.342452242779175,-0.9790111823189196,3
Finland,2024,Europe & Central Asia,High income,3.666520578216282,-0.8058819397534823,3
France,2010,Europe & Central Asia,High income,0.4402592857913063,0.5564211847629943,3
France,2011,Europe & Central Asia,High income,0.4050051345392383,0.4969642096287309,3
France,2012,Europe & Central Asia,High income,0.8286275399516879,0.5856162269432624,3
France,2013,Europe & Central Asia,High income,0.8395573079801268,0.5748126920814024,3
France,2014,Europe & Central Asia,High income,1.0276865348408744,0.6018329847601623,3
France,2015,Europe & Central Asia,High income,1.0477441134032066,0.8284177717805712,3
France,2016,Europe & Central Asia,High income,1.4706678137747564,0.9145005134346976,3
France,2017,Europe & Central Asia,High income,1.5860743643930826,0.8855079599095017,3
France,2018,Europe & Central Asia,High income,1.8818463004297703,0.9151629098458598,3
France,2019,Europe & Central Asia,High income,2.268318000409607,1.132049490688253,3
France,2020,Europe & Central Asia,High income,2.0860181418221333,0.9859836899263398,3
France,2021,Europe & Central Asia,High income,2.305171259061334,0.9513212590963268,3
France,2022,Europe & Central Asia,High income,2.483203911777256,1.167813795203119,3
France,2023,Europe & Central Asia,High income,2.4482551094930924,1.130303174665932,3
France,2024,Europe & Central Asia,High income,2.674215244813655,1.2542086626671134,3
Germany,2010,Europe & Central Asia,High income,0.6382141194837564,0.5789873467622538,3
Germany,2011,Europe & Central Asia,High income,0.8193925769518086,0.6277194672064499,3
Germany,2012,Europe & Central Asia,High income,0.9896164938105538,0.7381327568478632,3
Germany,2013,Europe & Central Asia,High income,1.2468731032236826,0.7147141594907573,3
Germany,2014,Europe & Central Asia,High income,1.29308888996879,0.6844418174329362,3
Germany,2015,Europe & Central Asia,High income,1.8093890184750927,1.0634980372961242,3
Germany,2016,Europe & Central Asia,High income,1.9931396051805013,1.0982620392906932,3
Germany,2017,Europe & Central Asia,High income,2.30568709718098,1.1200028957563648,3
Germany,2018,Europe & Central Asia,High income,2.046123304570727,0.8769435379508309,3
Germany,2019,Europe & Central Asia,High income,2.7626062888452285,1.1039351156929498,3
Germany,2020,Europe & Central Asia,High income,2.8636140839781725,1.1698603654602862,3
Germany,2021,Europe & Central Asia,High income,3.2833314520760735,1.3434404646071596,3
Germany,2022,Europe & Central Asia,High income,3.06741147068632,1.2733060558576186,3
Germany,2023,Europe & Central Asia,High income,3.4385635750117394,1.4780420002506849,3
Germany,2024,Europe & Central Asia,High income,3.393605209687519,1.402760216651802,3
India,2010,South Asia,Lower middle income,-5.210206403470036,3.603325557792109,2
India,2011,South Asia,Lower middle income,-5.173669513069896,3.256760969882978,2
India,2012,South Asia,Lower middle income,-4.795833791283185,3.730066050746533,2
India,2013,South Asia,Lower middle income,-4.440278197062382,4.015536364262631,2
India,2014,South Asia,Lower middle income,-4.305465542067414,3.978756003806562,2
India,2015,South Asia,Lower middle income,-3.937229928492809,4.2577335936595695,2
India,2016,South Asia,Lower middle income,-3.923215347421192,4.108793654332331,2
India,2017,South Asia,Lower middle income,-3.6975426645256384,3.9720494280143384,2
India,2018,South Asia,Lower middle income,-3.4787644858242492,4.077100245801844,2
India,2019,South Asia,Lower middle income,-3.0170736173339634,4.001775346935205,2
India,2020,South Asia,Lower middle income,-2.763003574448222,3.9159455805418895,2
India,2021,South Asia,Lower middle income,-2.251981484190343,4.071651047413293,2
India,2022,South Asia,Lower middle income,-2.282015924697271,3.917091619867626,2
India,2023,South Asia,Lower middle income,-1.7276364073598116,4.243533595558569,2
India,2024,South Asia,Lower middle income,-1.5650312906808634,4.290945914476588,2
Indonesia,2010,East Asia & Pacific,Upper middle income,-6.142407210855812,1.327088672045589,2
Indonesia,2011,East Asia & Pacific,Upper middle income,-5.9078139001871754,1.2700463990947972,2
Indonesia,2012,East Asia & Pacific,Upper middle income,-5.723894280526297,1.1575933989737386,2
Indonesia,2013,East Asia & Pacific,Upper middle income,-5.654180684780658,1.0977242319791607,2
Indonesia,2014,East Asia & Pacific,Upper middle income,-5.535340982994611,1.143774266824154,2
Indonesia,2015,East Asia & Pacific,Upper middle income,-5.362349470120905,1.17013628520194,2
Indonesia,2016,East Asia & Pacific,Upper middle income,-4.850352968668971,1.329323037459914,2
Indonesia,2017,East Asia & Pacific,Upper middle income,-4.468776402581987,1.2345437634684526,2
Indonesia,2018,East Asia & Pacific,Upper middle income,-4.307173621801406,1.660266161378665,2
Indonesia,2019,East Asia & Pacific,Upper middle income,-4.038419404457551,1.5063728121393567,2
Indonesia,2020,East Asia & Pacific,Upper middle income,-3.647022345464967,1.521301850619966,2
Indonesia,2021,East Asia & Pacific,Upper middle income,-3.5221080632222814,1.217368895564207,2
Indonesia,2022,East Asia & Pacific,Upper middle income,-3.407298272310165,1.1068079947122602,2
Indonesia,2023,East Asia & Pacific,Upper middle income,-3.303127405618637,1.0171510742884269,2
Indonesia,2024,East Asia & Pacific,Upper middle income,-3.2276620292923313,0.988510917195198,2
Ireland,2010,Europe & Central Asia,High income,-0.6664885329997088,-0.8726540064710905,0
Ireland,2011,Europe & Central Asia,High income,-0.3742878639548465,-1.0355945440021237,0
Ireland,2012,Europe & Central Asia,High income,0.2903310739602161,-0.7668181627746923,0
Ireland,2013,Europe & Central Asia,High income,-0.1022198997089709,-1.37612260651924,0
Ireland,2014,Europe & Central Asia,High income,0.2139648164663702,-1.2906751764475932,0
Ireland,2015,Europe & Central Asia,High income,0.1265992137199781,-1.5427942007101811,0
Ireland,2016,Europe & Central Asia,High income,0.7314805482908083,-0.917027578330504,3
Ireland,2017,Europe & Central Asia,High income,0.8359350821130274,-0.9257880047388664,3
Ireland,2018,Europe & Central Asia,High income,1.6741885548170057,-0.1883518126735605,3
Ireland,2019,Europe & Central Asia,High income,2.017019967831173,0.0514759432652483,3
Ireland,2020,Europe & Central Asia,High income,2.099837278997863,-0.0287387684645977,3
Ireland,2021,Europe & Central Asia,High income,2.6084686726953925,-0.0734933908210301,3
